"","A","M","Time","Event","As","W","I"
"1",NA,-0.53,50,0,0.779,0.281,0
"2",NA,1.369,50,0,-0.548,-0.281,0
"3",NA,-0.039,2.8,0,0.199,-0.608,0
"4",NA,-0.653,45.4,0,0.549,0.044,0
"5",NA,-0.15,13.7,0,0.076,0.39,0
"6",NA,1.113,50,0,-0.524,-0.39,0
"7",NA,-0.714,5.4,0,-0.328,-0.055,0
"8",NA,0.846,50,0,0.819,-0.371,0
"9",NA,-1.032,50,0,1.153,-1.337,0
"10",NA,-1.144,50,0,-1.097,-0.143,0
"11",NA,0.069,40.5,0,0.507,0.483,0
"12",NA,0.043,50,0,-0.211,0.355,0
"13",NA,-0.228,50,0,-0.502,0.114,0
"14",NA,-0.248,50,0,-0.594,-0.553,0
"15",NA,0.109,50,0,-0.267,-0.846,0
"16",NA,-0.003,2.8,0,-0.337,-1.315,0
"17",NA,0.762,47.3,0,-0.415,0.237,0
"18",NA,-0.425,10.5,0,-1.222,0.217,0
"19",NA,0.366,43.4,0,-0.812,-0.421,0
"20",NA,-0.602,50,0,-0.736,0.406,0
"21",NA,-0.148,39.2,0,0.327,-0.187,0
"22",NA,0.282,15.8,0,0.379,-1.471,0
"23",NA,0.783,32.8,0,-0.061,0.55,0
"24",NA,0.86,23.1,0,-0.358,0.675,0
"25",NA,0.255,15.2,0,-0.818,-0.712,0
"26",NA,-0.34,50,0,0.038,-1.266,0
"27",NA,0.08,50,0,0.658,-1.128,0
"28",NA,0.501,40.1,0,0.614,0.453,0
"29",NA,0.294,50,0,-0.339,-0.377,0
"30",NA,-0.33,50,0,-0.159,0.632,0
"31",NA,-0.642,33.8,0,-0.192,-0.37,0
"32",NA,0.828,0.5,0,-0.504,0.836,0
"33",NA,-1.163,50,0,1.371,0.198,0
"34",NA,-0.288,50,0,-1.376,0.476,0
"35",NA,-0.072,50,0,-1.274,-1.03,0
"36",NA,-0.694,50,0,0.689,0.91,0
"37",NA,-0.436,43.4,1,0.693,-1.143,0
"38",NA,0.794,50,0,-0.639,1.398,0
"39",NA,-0.23,50,0,0.75,0.814,0
"40",NA,-0.865,17.5,0,-0.617,-0.91,0
"41",NA,-0.638,50,0,-0.377,-0.094,0
"42",NA,0.44,40.1,0,-0.264,-0.339,0
"43",NA,1.526,14.1,0,-0.409,-0.828,0
"44",NA,-0.226,49.4,1,-0.097,-0.655,0
"45",NA,-0.168,47.7,1,-0.26,0.524,0
"46",NA,-0.414,28.8,0,0.028,0.666,0
"47",NA,-0.45,50,0,0.103,-0.076,0
"48",NA,-0.409,50,0,-1.275,-0.595,0
"49",NA,-0.39,50,0,-1.204,-1.384,0
"50",NA,-0.646,50,0,-0.715,-0.15,0
"51",NA,-0.603,48.6,0,1.132,0.19,0
"52",NA,-0.411,50,0,-0.626,0.368,0
"53",NA,-0.48,44.2,0,-1.478,-1.255,0
"54",NA,-0.29,50,0,-0.033,-0.687,0
"55",NA,0.215,50,0,0.853,0.134,0
"56",NA,-0.262,2.9,0,-1.585,0.448,0
"57",NA,-0.49,50,0,-1.111,-0.339,0
"58",NA,-0.54,50,0,0.877,-0.903,0
"59",NA,2.303,50,0,-1.221,-0.264,0
